product_name,Occurences,rayon
Banana,110916,fresh fruits
Bag of Organic Bananas,78988,fresh fruits
Organic Whole Milk,30927,milk
Organic Strawberries,27975,fresh fruits
Organic Hass Avocado,24116,fresh fruits
Organic Baby Spinach,23543,packaged vegetables fruits
Organic Avocado,22398,fresh fruits
Spring Water,16822,water seltzer sparkling water
Strawberries,16366,fresh fruits
Organic Raspberries,14393,packaged vegetables fruits
Sparkling Water Grapefruit,13733,water seltzer sparkling water
Organic Half & Half,12676,cream
Large Lemon,12316,fresh fruits
Soda,11770,soft drinks
Organic Reduced Fat Milk,9885,milk
Limes,9719,fresh fruits
Half & Half,9528,cream
Hass Avocados,9500,packaged produce
Organic Reduced Fat 2% Milk,9338,milk
Raspberries,8885,packaged produce
