index,product_name,Nombre_de_vente,rayon
3247,Banana,398609,fresh fruits
3058,Bag of Organic Bananas,315913,fresh fruits
29079,Organic Strawberries,205845,fresh fruits
26151,Organic Baby Spinach,186884,packaged vegetables fruits
27532,Organic Hass Avocado,170131,fresh fruits
26116,Organic Avocado,134044,fresh fruits
29597,Organic Whole Milk,114510,milk
20302,Large Lemon,106255,fresh fruits
28550,Organic Raspberries,105409,packaged vegetables fruits
39135,Strawberries,99802,fresh fruits
21218,Limes,95768,fresh fruits
29676,Organic Yellow Onion,79072,fresh vegetables
27256,Organic Garlic,74663,fresh vegetables
29714,Organic Zucchini,72165,fresh vegetables
10505,Cucumber Kirby,67313,fresh vegetables
27236,Organic Fuji Apple,63811,fresh fruits
26303,Organic Blueberries,62922,packaged vegetables fruits
2303,Apple Honeycrisp Organic,62510,fresh fruits
27796,Organic Lemon,60536,fresh fruits
27510,Organic Half & Half,59672,cream
