level_0,index,product_name,Nombre_de_vente,rayon
0,3676,Banana,472565,fresh fruits
1,3471,Bag of Organic Bananas,379450,fresh fruits
2,31920,Organic Strawberries,264683,fresh fruits
3,28840,Organic Baby Spinach,241921,packaged vegetables fruits
4,30297,Organic Hass Avocado,213584,fresh fruits
5,28804,Organic Avocado,176815,fresh fruits
6,22413,Large Lemon,152657,fresh fruits
7,42904,Strawberries,142951,fresh fruits
8,23420,Limes,140627,fresh fruits
9,32478,Organic Whole Milk,137905,milk
10,31363,Organic Raspberries,137057,packaged vegetables fruits
11,32565,Organic Yellow Onion,113426,fresh vegetables
12,30000,Organic Garlic,109778,fresh vegetables
13,32605,Organic Zucchini,104823,fresh vegetables
14,29008,Organic Blueberries,100060,packaged vegetables fruits
15,11630,Cucumber Kirby,97315,fresh vegetables
16,29980,Organic Fuji Apple,89632,fresh fruits
17,30577,Organic Lemon,87746,fresh fruits
18,2628,Apple Honeycrisp Organic,85020,fresh fruits
19,30139,Organic Grape Tomatoes,84255,packaged vegetables fruits
