aisle,nombre_de_ventes
fresh fruits,3642188
fresh vegetables,3418021
packaged vegetables fruits,1765313
yogurt,1452343
packaged cheese,979763
milk,891015
water seltzer sparkling water,841533
chips pretzels,722470
soy lactosefree,638253
bread,584834
refrigerated,575881
frozen produce,522654
ice cream ice,498425
crackers,458838
energy granola bars,456386
eggs,452134
lunch meat,395130
frozen meals,390299
baby food formula,382456
fresh herbs,377741
cereal,377586
soft drinks,357537
fresh dips tapenades,355685
soup broth bouillon,346464
juice nectars,333933
baking ingredients,326692
cream,318002
other creams cheeses,308007
nuts seeds dried fruit,306487
hot dogs bacon sausage,305655
